Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Entry Year,Crop Type,Year,Production Value (Tonnes),Production Value Flag,Yield Value (100 g/ha),Yield Value Flag,Yield Difference,Production Difference
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1961,370000,E,90244,E,0,0
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1962,370000,E,90244,E,0,0
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1963,370000,E,90244,E,0,0
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1964,390000,E,90698,E,454,20000
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1965,390000,E,90698,E,0,0
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1966,390000,E,90698,E,0,0
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1967,400000,E,90909,E,211,10000
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1968,400000,E,90909,E,0,0
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1969,400000,E,90909,E,0,0
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1970,370300,A,90317,I,-592,-29700
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1971,378446,A,90106,I,-211,8146
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1972,340601,A,89632,I,-474,-37845
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1973,386772,A,89947,I,315,46171
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1974,389418,A,90562,I,615,2646
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1975,390640,A,90847,I,285,1222
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1976,395500,A,91977,I,1130,4860
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1977,400000,A,90909,I,-1068,4500
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1978,450000,A,91837,I,928,50000
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1979,385200,A,91714,I,-123,-64800
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1980,400000,A,90909,I,-805,14800
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1981,451000,A,92041,I,1132,51000
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1982,444000,A,88800,I,-3241,-7000
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1983,444000,A,90612,I,1812,0
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1984,511000,A,92909,I,2297,67000
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1985,504000,A,90000,I,-2909,-7000
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1986,554000,A,92333,I,2333,50000
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1987,567600,A,91548,I,-785,13600
29,108,Burundi,125,1520.01,"Cassava, fresh",0,Roots,1988,583400,A,89754,I,-1794,15800
